"churn_prediction","feature_0","feature_1","feature_2","feature_3","feature_4","feature_5","feature_6","feature_7","feature_8","feature_9","feature_10","feature_11","feature_12","feature_13","feature_14","feature_15"
"no",0.571051203933711,0.406842992680743,0.984523316600528,0.0110160979054011,-0.569350637645791,-0.411453106493048,-0.251940370672173,0,1,1,0,0,0,0,11,3
"yes",-1.12408039431121,-0.166934899892671,0.503891811721719,-0.322932108912729,0.721810522482311,0.547323124611991,0.182197529943736,0,2,1,0,0,0,0,5,1
"no",0.476877226253437,0.145079409177016,-0.5775290742556,-0.691828383886244,-0.246560347613766,-0.411453106493048,-0.251940370672173,0,1,1,0,0,0,0,1,3
"no",1.60696495841672,-0.447419341940579,1.82562845013844,-0.983062285181125,7.17761632312282,-0.411453106493048,-0.251940370672173,1,1,0,0,1,0,0,5,3
"no",-0.935732438950666,-0.364653441008409,-1.17831845535411,-0.322932108912729,0.0762299424182596,-0.411453106493048,-0.251940370672173,8,2,1,0,1,0,2,8,3
"no",0.28852927089289,0.974709035187573,0.263576059282315,-0.940347979657876,2.01297168261041,-0.411453106493048,-0.251940370672173,1,2,3,0,0,0,2,6,3
"no",-0.841558461270392,-0.236563356232432,-1.29847633157381,-0.800555707036333,-0.569350637645791,2.12530900497237,0.616335430559645,0,2,1,0,1,0,0,3,0
"no",1.23026904769563,-0.396511744144998,-0.217055445596494,-0.711243977305903,-0.569350637645791,-0.411453106493048,-0.251940370672173,4,0,1,0,1,0,2,8,3
"no",-0.276514595188751,0.424906978995304,-0.938002702914707,-0.109360581296483,-0.246560347613766,-0.411453106493048,-0.251940370672173,4,1,2,0,0,0,0,5,3
"no",1.79531291377727,0.209452887679815,-0.938002702914707,-0.777256994932743,-0.569350637645791,-0.411453106493048,-0.251940370672173,10,1,1,0,0,0,0,0,3
"no",-1.31242834967176,0.347396055900097,-0.457371198035898,0.515821526816528,-0.246560347613766,-0.411453106493048,-0.251940370672173,4,2,2,0,1,0,2,8,3
"no",0.759399159294258,-0.354471921449293,1.22483906903993,1.38175699333331,-0.246560347613766,-0.411453106493048,-0.251940370672173,0,0,1,0,1,0,2,8,3
"no",-0.841558461270392,0.171025862247022,0.864365440380826,-0.781140113616674,-0.569350637645791,-0.411453106493048,-0.251940370672173,8,2,1,0,1,0,2,8,3
"no",0.28852927089289,-0.095664262978858,-0.5775290742556,-0.447191906798544,0.0762299424182596,3.16398325533616,0.182197529943736,1,1,1,0,1,0,0,8,0
"no",1.70113893609699,5.8263673231638,-1.29847633157381,0.791522953375681,-0.569350637645791,-0.411453106493048,-0.251940370672173,10,1,0,0,0,0,0,3,3
"no",0.665225181613984,-0.428698483396397,0.383733935502017,-0.48213997495393,-0.569350637645791,-0.411453106493048,-0.251940370672173,3,0,1,0,0,0,0,9,3
"no",-1.21825437199149,-0.442164364103615,-0.457371198035898,-0.540386755212906,0.399020232450285,-0.411453106493048,-0.251940370672173,10,2,1,0,0,0,0,1,3
"no",-0.935732438950666,2.87372665102013,-0.217055445596494,-0.652997197046927,0.399020232450285,-0.411453106493048,-0.251940370672173,4,2,2,0,1,0,0,1,3
"no",1.23026904769563,0.253134890949571,0.263576059282315,-0.319048990228797,-0.569350637645791,-0.411453106493048,-0.251940370672173,9,0,2,0,0,0,0,9,3
"no",1.04192109233508,-0.361697515975117,-0.457371198035898,0.694444986277388,-0.246560347613766,-0.411453106493048,-0.251940370672173,4,1,2,0,1,0,2,6,3
"no",0.194355293212617,-0.384359607897021,1.70547057391874,0.057613522112582,-0.246560347613766,-0.411453106493048,-0.251940370672173,7,1,1,0,1,1,2,8,3
"no",-0.0881666398282039,-0.438551566840703,0.503891811721719,0.81093854679534,-0.246560347613766,-0.411453106493048,-0.251940370672173,0,2,2,0,0,0,0,1,3
"no",-0.559036528229572,-0.41556103880399,1.58531269769904,-0.478256856269998,0.399020232450285,-0.411453106493048,-0.251940370672173,4,1,1,0,1,0,2,8,3
"no",1.70113893609699,0.390749623055043,-1.29847633157381,-0.517088043109316,0.0762299424182596,-0.411453106493048,-0.251940370672173,0,1,1,0,0,1,0,1,3
"no",0.759399159294258,-0.343961965775367,-0.5775290742556,-0.0705293944571655,-0.569350637645791,-0.411453106493048,-0.251940370672173,2,0,2,0,0,0,0,11,3
"no",-0.182340617508477,-0.373849652223095,0.503891811721719,0.605133256546958,-0.246560347613766,-0.411453106493048,-0.251940370672173,4,1,2,0,0,0,0,1,3
"no",-0.747384483590119,-0.376805577256386,-0.0968975693767915,-0.357880177068114,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,1,1,0,0,0,0,0,3
"no",0.00600733785206958,-0.371879035534234,-0.817844826695005,-0.400594482591364,0.0762299424182596,-0.411453106493048,-0.251940370672173,7,1,3,0,1,0,0,3,3
"no",0.853573136974531,0.681087148547257,1.70547057391874,-0.295750278125206,0.399020232450285,-0.411453106493048,-0.251940370672173,1,1,1,0,1,1,0,5,3
"no",1.04192109233508,-0.40012454140791,-0.0968975693767915,0.403211084982507,-0.569350637645791,-0.411453106493048,-0.251940370672173,9,0,1,0,1,0,0,8,3
"no",-1.50077630503231,-0.157738688677985,-0.337213321816196,0.32166559261994,-0.569350637645791,-0.411453106493048,-0.251940370672173,6,2,2,0,1,0,0,8,3
"no",1.41861700305617,-0.200763819718121,-0.0968975693767915,-0.835503775191719,1.69018139257839,1.36627782201421,1.91874913240737,9,2,1,0,1,0,0,8,0
"no",-0.747384483590119,-0.325897979460806,-0.938002702914707,-0.0355813263017798,-0.569350637645791,-0.411453106493048,-0.251940370672173,1,1,1,0,1,0,0,0,3
"no",-0.841558461270392,-0.443149672448046,1.34499694525963,-0.66076343441479,-0.246560347613766,-0.411453106493048,-0.251940370672173,0,2,1,0,1,0,2,8,3
"no",0.100181315532343,-0.392242074652466,0.143418183062613,0.14304213315908,-0.569350637645791,-0.411453106493048,-0.251940370672173,0,2,2,0,1,0,0,5,3
"no",-1.59495028271258,-0.425742558363106,1.22483906903993,-0.579217942052224,-0.246560347613766,-0.411453106493048,-0.251940370672173,4,2,2,0,1,0,2,8,3
